Samples - Plot 0,Amplitude [V] - Plot 0
759,-0.239939
760,-0.262321
761,-0.277797
762,-0.287773
763,-0.29468
764,-0.2989
765,-0.299412
766,-0.298005
767,-0.293656
768,-0.285599
769,-0.274727
770,-0.259635
771,-0.241857
772,-0.219987
773,-0.195302
774,-0.167804
775,-0.138515
776,-0.106412
777,-0.072263
778,-0.0378582
779,-0.00358118
780,0.0313353
781,0.0656123
782,0.104366
783,0.136724
784,0.162944
785,0.187244
786,0.209115
787,0.227916
788,0.242497
789,0.252601
790,0.258484
791,0.260403
792,0.256949
793,0.248892
794,0.235974
795,0.219347
796,0.199011
797,0.175222
798,0.148619
799,0.11869
800,0.0867156
801,0.0537177
802,0.0194407
803,-0.0156037
804,-0.0542292
805,-0.0909363
806,-0.119842
807,-0.147596
808,-0.173687
809,-0.196965
810,-0.216789
811,-0.232521
812,-0.244415
813,-0.252601
814,-0.255415
815,-0.253368
816,-0.246462
817,-0.234695
818,-0.219731
819,-0.200418
820,-0.177396
821,-0.151433
822,-0.12176
823,-0.0906805
824,-0.0571709
825,-0.0219987
826,0.0133015
827,0.0474506
828,0.0823671
829,0.122527
830,0.14977
831,0.17535
832,0.199523
833,0.219987
834,0.236358
835,0.250299
836,0.259507
837,0.263472
838,0.262961
839,0.257717
840,0.247741
841,0.2338
842,0.215766
843,0.194023
844,0.16806
845,0.139282
846,0.107435
847,0.0741815
848,0.0388813
849,0.00370908
850,-0.0313353
851,-0.0741815
852,-0.105517
853,-0.134806
854,-0.162304
855,-0.18814
856,-0.21065
857,-0.229067
858,-0.24416
859,-0.254903
860,-0.260914
861,-0.261682
862,-0.257717
863,-0.249275
864,-0.235974
865,-0.218708
866,-0.197221
867,-0.171385
868,-0.142863
869,-0.111784
870,-0.077379
871,-0.0423346
872,-0.00639496
873,0.029161
874,0.0645891
875,0.103982
876,0.138387
877,0.166141
878,0.191849
879,0.21551
880,0.236358
881,0.252217
882,0.263728
883,0.270379
884,0.273193
885,0.270763
886,0.263472
887,0.251833
888,0.23559
889,0.213975
890,0.18814
891,0.160386
892,0.12969
893,0.0968197
894,0.0616474
895,0.0245566
896,-0.0129178
897,-0.0534619
898,-0.0915758
899,-0.122144
900,-0.152456
901,-0.180722
902,-0.206813
903,-0.22894
904,-0.246845
905,-0.259763
906,-0.268077
907,-0.272553
908,-0.27153
909,-0.265902
910,-0.255031
911,-0.239811
912,-0.218963
913,-0.195046
914,-0.167164
915,-0.136468
916,-0.102703
917,-0.0665076
918,-0.0292889
919,0.00805765
920,0.0451484
921,0.0827508
922,0.125341
923,0.155909
924,0.184686
925,0.210906
926,0.234567
927,0.25388
928,0.268588
929,0.279204
930,0.284831
931,0.284576
932,0.280099
933,0.270507
934,0.256438
935,0.23802
936,0.214359
937,0.186221
938,0.155525
939,0.122016
940,0.0868435
941,0.0500086
942,0.0117667
943,-0.0276262
944,-0.0730304
945,-0.108331
946,-0.140817
947,-0.170873
948,-0.199395
949,-0.224463
950,-0.245822
951,-0.262961
952,-0.275367
953,-0.282401
954,-0.28432
955,-0.280994
956,-0.272937
957,-0.260914
958,-0.243648
959,-0.22101
960,-0.194407
961,-0.164223
962,-0.131097
963,-0.0959244
964,-0.0581941
965,-0.019057
966,0.0196965
967,0.0593452
968,0.102575
969,0.139922
970,0.171385
971,0.201057
972,0.227788
973,0.250554
974,0.269228
975,0.282913
976,0.292761
977,0.297238
978,0.295959
979,0.289564
980,0.277925
981,0.262449
982,0.240834
983,0.215638
984,0.187116
985,0.15463
986,0.119074
987,0.0815997
988,0.0423346
989,0.00127899
990,-0.0388813
991,-0.0854366
992,-0.119202
993,-0.153351
994,-0.185198
995,-0.214359
996,-0.239555
997,-0.261042
998,-0.277413
999,-0.289436
1000,-0.295575
1001,-0.296214
1002,-0.29225
1003,-0.283169
1004,-0.268588
1005,-0.249403
1006,-0.224463
1007,-0.196453
1008,-0.164095
1009,-0.129178
1010,-0.0924711
1011,-0.0537177
1012,-0.0136852
1013,0.0274983
1014,0.0682982
1015,0.114342
1016,0.150537
1017,0.18328
1018,0.213464
1019,0.240323
1020,0.262833
1021,0.280483
1022,0.295959
1023,0.304528
1024,0.308493
1025,0.306958
1026,0.299156
1027,0.286366
1028,0.268332
1029,0.246206
1030,0.219475
1031,0.188651
1032,0.154502
1033,0.117284
1034,0.0782743
1035,0.0374745
1036,-0.00319748
1037,-0.0462995
1038,-0.0924711
1039,-0.128283
1040,-0.16192
1041,-0.194151
1042,-0.224079
1043,-0.249787
1044,-0.271402
1045,-0.287773
1046,-0.299796
1047,-0.305423
1048,-0.306191
1049,-0.300819
1050,-0.290075
1051,-0.2746
1052,-0.254391
1053,-0.229835
1054,-0.200162
1055,-0.167164
1056,-0.130201
1057,-0.0914479
1058,-0.0510318
1059,-0.00946454
1060,0.0321027
1061,0.0729025
1062,0.119842
1063,0.156293
1064,0.189674
1065,0.219987
1066,0.247485
1067,0.27089
1068,0.290203
1069,0.3044
1070,0.313097
1071,0.316039
1072,0.313992
1073,0.305679
1074,0.292505
1075,0.273576
1076,0.249787
1077,0.222289
1078,0.19057
1079,0.154758
1080,0.117028
1081,0.0769953
1082,0.0356839
1083,-0.00639496
1084,-0.0514155
1085,-0.0963081
1086,-0.132887
1087,-0.167676
1088,-0.20029
1089,-0.230218
1090,-0.256054
1091,-0.276902
1092,-0.293784
1093,-0.305679
1094,-0.311179
1095,-0.311307
1096,-0.306063
1097,-0.295191
1098,-0.27882
1099,-0.257333
1100,-0.230986
1101,-0.200802
1102,-0.167292
1103,-0.130073
1104,-0.0897852
1105,-0.0489854
1106,-0.00703445
1107,0.0349165
1108,0.0762279
1109,0.125341
1110,0.161409
1111,0.194663
1112,0.224719
1113,0.251961
1114,0.275367
1115,0.29404
1116,0.307086
1117,0.315655
1118,0.319108
1119,0.316039
1120,0.30747
1121,0.293784
1122,0.274983
1123,0.251322
1124,0.222928
1125,0.190698
1126,0.154886
1127,0.116516
1128,0.0758442
1129,0.0338933
1130,-0.00933664
1131,-0.0552524
1132,-0.0987382
1133,-0.135062
1134,-0.170745
1135,-0.202464
1136,-0.232137
1137,-0.258484
1138,-0.279843
